Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,424.3718,935.7401,1021.0017,772.1055,139.8768,339.2204,279.9584,468.475,769.5528,149.9707,530.0273
2,578.2563,1288.3061,1467.3918,1074.6909,194.5761,670.6374,449.5849,564.2437,943.2471,383.4655,761.44
3,676.3796,1420.5523,1758.1779,1365.3375,241.4917,749.4459,555.4151,664.0048,1130.4983,490.4855,905.1789
4,741.5059,1684.5168,2066.0306,1432.6433,269.3154,858.7122,592.5389,740.8016,1425.889,557.2999,1036.9254
5,1070.3921,1891.8831,2352.4532,1500.9298,309.3747,979.8977,642.03,783.7742,1735.3676,619.1063,1188.5209
6,1450.6541,1997.1333,2324.3067,1768.8198,324.5995,1059.7091,687.3895,838.7525,1732.2011,685.2758,1286.8841
7,1641.9364,2119.5646,2495.403,2134.4486,338.1493,1167.7631,733.5543,899.4498,1758.2382,826.0718,1411.4579
8,1725.6107,2255.4932,2426.9284,2363.1357,343.0626,1186.8913,774.3166,928.9913,1852.3132,835.5066,1469.225
9,1849.4903,2309.1757,2456.1303,2424.3234,348.8436,1253.3598,787.2161,981.7833,1915.1798,865.3456,1519.0848
10,1932.3568,2335.1922,2500.1276,2479.0415,398.5031,1385.8876,846.4423,998.1157,2132.8146,872.491,1588.0972
11,2052.7413,2366.7685,2500.5885,2496.1816,461.0057,1390.9134,880.1868,1013.0311,2262.675,877.5731,1630.1665
12,2056.8541,2443.6427,2501.0,2508.965,522.9176,1468.9104,888.7973,1028.697,2350.6176,882.1555,1665.2557
13,2116.7717,2499.7077,2451.407,2509.0,565.4466,1520.3552,887.5892,1067.6588,2358.2886,882.3388,1685.8564
14,2159.6176,2498.1279,2501.0,2509.0,567.4794,1660.3406,894.25,1144.1362,2383.8514,889.7044,1720.7507
15,2232.0884,2499.7077,2501.0,2509.0,585.8949,1752.1806,896.6041,1163.6419,2429.1272,894.3809,1746.3626
16,2274.841,2403.9067,2501.0,2509.0,611.1528,1859.622,898.9555,1246.2532,2349.9676,898.4791,1755.3178
17,2353.2099,2501.0,2501.0,2509.0,656.286,1862.0558,898.5535,1321.7671,2423.6067,899.7325,1792.6211
18,2369.8879,2501.0,2441.1595,2509.0,702.5297,1815.2431,899.5256,1344.8447,2476.4539,900.1609,1795.9805
19,2428.3031,2501.0,2489.2174,2506.8865,733.9397,1878.1793,900.4152,1413.5112,2416.3641,895.0646,1816.2881
20,2453.7361,2501.0,2501.0,2408.8964,783.6078,1919.629,900.652,1458.5052,2427.654,898.1795,1825.286
21,2491.6285,2501.0,2478.246,2447.3045,813.462,1962.0935,900.544,1492.4602,2497.9339,899.0964,1848.3769
22,2468.4028,2501.0,2501.0,2493.8024,828.0365,2026.6064,899.4532,1518.1943,2497.9339,900.6252,1863.5055
23,2464.295,2466.5417,2501.0,2508.452,832.6718,1997.7576,898.1897,1546.1923,2476.407,900.8944,1859.2402
24,2481.8522,2487.9299,2501.0,2509.0,852.7553,2019.9441,900.8729,1595.5028,2428.966,900.9746,1867.8798
25,2481.4241,2487.9299,2501.0,2503.1167,892.2291,2053.9112,900.8838,1641.9487,2501.0,900.9799,1886.4423
26,2501.0,2494.0716,2501.0,2509.0,898.9297,2115.8469,897.1268,1672.3778,2492.5864,898.1656,1898.0105
27,2501.0,2501.0,2501.0,2509.0,898.9539,2150.5484,900.4425,1709.9395,2462.5397,899.6692,1903.4093
28,2501.0,2501.0,2501.0,2509.0,897.2027,2230.556,899.799,1707.7173,2501.0,901.0004,1914.9275
29,2500.9367,2501.0,2501.0,2495.4386,898.4742,2327.3484,900.9122,1764.1038,2501.0,901.0004,1929.1214
30,2495.6355,2501.0,2501.0,2509.0,897.0921,2379.2096,900.9662,1940.8746,2501.0,900.9054,1952.6683
31,2501.0,2501.0,2493.1841,2509.0,899.0076,2336.0778,900.9855,2005.3497,2486.3753,899.4194,1953.1399
32,2501.0,2501.0,2480.4447,2484.9835,899.824,2414.1186,900.8411,2066.5086,2501.0,901.0004,1965.0721
33,2501.0,2501.0,2466.3284,2506.5628,900.3828,2435.6838,900.9995,2113.0456,2501.0,899.9048,1972.5908
34,2434.7283,2501.0,2501.0,2507.5567,900.5564,2475.2211,900.9995,2236.4402,2501.0,901.0004,1985.9502
35,2478.5962,2498.4509,2482.1378,2509.0,900.7921,2481.6079,900.9995,2368.2825,2487.391,901.0004,2000.8258
36,2501.0,2501.0,2492.3661,2507.8283,897.8426,2497.9918,900.9876,2409.2431,2484.4584,901.0004,2009.3718
37,2501.0,2483.9682,2501.0,2509.0,892.465,2499.7103,900.9995,2454.3854,2501.0,896.9489,2014.0477
38,2501.0,2501.0,2501.0,2509.0,900.7445,2498.4206,900.9995,2482.3523,2501.0,901.0004,2019.6517
39,2452.9676,2501.0,2501.0,2507.4636,900.6853,2501.0,900.9995,2487.4587,2426.891,901.0004,2008.0466
40,2499.3565,2501.0,2501.0,2509.0,900.6601,2501.0,899.5791,2495.0984,2492.093,901.0004,2019.9787
